Trial,Enc_Latency_ns,Enc_RAM_Bytes,CPU_Percent,Enc_Throughput_bps
1,39270478,29409280,0.0,1068056670.97
2,39362718,29409280,100.2,1065553857.33
3,39244664,29409280,100.5,1068759207.62
4,39233330,29409280,100.7,1069067958.29
5,39429571,29409280,100.1,1063747206.38
6,39378293,29409280,100.2,1065132406.83
7,39446941,29409280,100.0,1063278797.71
8,39343849,29409280,100.3,1066064888.57
9,39250646,29409280,100.7,1068596323.23
10,39249404,29409280,100.7,1068630137.67
11,39339959,29409280,100.4,1066170302.82
12,39242849,29409280,75.5,1068808638.23
13,39243552,29409280,100.7,1068789491.84
14,39276220,29409280,100.6,1067900526.07
15,39244812,29409280,100.7,1068755177.12
16,39252534,29409280,100.7,1068544925.02
17,39252793,29409280,100.7,1068537874.49
18,39386811,29409280,100.3,1064902055.67
19,39269756,29409280,100.6,1068076307.88
20,39256978,29409280,100.6,1068423962.74
21,39264164,29409280,100.6,1068228423.25
22,39219553,29409280,100.7,1069443499.27
23,39230571,29409280,125.9,1069143143.49
24,39320626,29409280,100.4,1066694512.95
25,39234960,29409280,100.6,1069023544.31
26,39245127,29409280,100.7,1068746598.78
27,39333405,29409280,100.4,1066347955.38
28,39236627,29413376,100.6,1068978125.97
29,39324849,29413376,100.5,1066579963.22
30,39293497,29413376,100.6,1067430979.74
31,39283979,29413376,100.6,1067689604.46
32,39480551,29413376,99.9,1062373622.90
33,39261701,29413376,100.6,1068295436.31
34,39321497,29413376,100.5,1066670884.89
35,39335479,29413376,100.5,1066291731.19
36,39268793,29413376,100.6,1068102500.63
37,39325182,29413376,75.3,1066570931.57
38,39248904,29413376,100.7,1068643751.17
39,39274108,29413376,100.6,1067957953.37
40,39258626,29413376,100.6,1068379112.40
41,39246757,29413376,100.6,1068702211.50
42,39265126,29413376,100.6,1068202251.53
43,39344070,29413376,100.3,1066058900.36
44,39282738,29413376,100.5,1067723334.36
45,39277460,29413376,100.6,1067866812.16
46,39366885,29413376,100.4,1065441068.04
47,39234386,29413376,100.7,1069039184.15
48,39249090,29413376,100.7,1068638686.91
49,39267442,29413376,100.6,1068139248.80
50,39316756,29413376,100.5,1066799509.09
51,39307904,29413376,100.5,1067039748.55
52,39261886,29413376,100.6,1068290402.55
53,39253330,29413376,100.7,1068523256.50
54,39265663,29413376,100.6,1068187642.72
55,39328793,29413376,100.5,1066473003.63
56,39257182,29413376,100.7,1068418410.67
57,39286626,29413376,100.6,1067617667.14
58,39532922,29413376,100.0,1060966249.85
59,39322719,29413376,100.5,1066637736.83
60,39234645,29413376,75.5,1069032127.09
61,39276367,29413376,100.6,1067896529.23
62,39230664,29413376,125.8,1069140608.99
63,39324182,29413376,100.5,1066598054.09
64,39269683,29413376,100.6,1068078293.37
65,39247423,29413376,100.7,1068684076.40
66,39256683,29413376,100.7,1068431991.57
67,39258793,29413376,100.6,1068374567.71
68,39240090,29413376,100.7,1068883786.96
69,39383441,29413376,100.3,1064993178.22
70,39278793,29413376,100.6,1067830572.09
71,39261275,29417472,75.4,1068307027.73
72,39252348,29417472,100.7,1068549988.40
73,39254516,29417472,100.7,1068490973.12
74,39395829,29417472,100.3,1064658291.62
75,39240608,29417472,100.7,1068869677.04
76,39318997,29417472,100.5,1066738706.48
77,39349256,29417472,100.4,1065918400.08
78,39227294,29417472,100.7,1069232458.40
79,39254275,29417472,100.6,1068497533.07
80,39273701,29417472,100.5,1067969020.80
81,39273145,29417472,100.6,1067984140.31
82,39275534,29417472,100.6,1067919178.39
83,39446959,29417472,100.2,1063278312.53
84,39398015,29421568,100.3,1064599219.02
85,39333960,29421568,100.4,1066332909.27
86,39258942,29421568,100.6,1068370512.89
87,39269108,29421568,100.6,1068093932.77
