Trial,Enc_Latency_ns,Enc_RAM_Bytes,CPU_Percent,Enc_Throughput_bps
1,2431119638,34914304,0.0,17252587.39
2,2417709112,34914304,399.1,17348283.87
3,2419779742,34914304,398.7,17333438.77
4,2417194152,34914304,399.1,17351979.76
5,2417290864,34914304,399.1,17351285.53
6,2420307184,34914304,398.2,17329661.41
7,2417863207,34914304,399.0,17347178.24
8,2419467861,34914304,398.4,17335673.14
9,2417839595,34914304,399.0,17347347.64
10,2417619626,34914304,399.1,17348926.01
11,2420077159,34914304,398.7,17331308.57
12,2418067751,34914304,398.6,17345710.84
13,2420436284,34914304,398.6,17328737.09
14,2416979970,34914304,398.8,17353517.41
15,2418466942,34914304,398.9,17342847.77
16,2419091981,34914304,398.8,17338366.76
17,2415137396,34914304,399.5,17366756.88
18,2415493031,34914304,399.0,17364199.96
19,2416101332,34914304,399.3,17359828.18
20,2415843142,34914304,399.4,17361683.49
21,2415369235,34914304,399.0,17365089.94
22,2414577794,34914304,399.6,17370781.80
23,2415431128,34914304,399.0,17364644.98
24,2415488141,34914304,399.4,17364235.12
25,2415892406,34914304,399.4,17361329.46
26,2416019196,34914304,399.3,17360418.36
27,2415996838,34914304,398.9,17360579.01
28,2414200578,34914304,399.6,17373495.96
29,2415428596,34918400,399.4,17364663.18
30,2451816797,34918400,393.5,17106948.63
31,2416306555,34918400,399.3,17358353.77
32,2415798259,34918400,399.4,17362006.05
33,2414039427,34918400,399.2,17374655.75
34,2426198688,34918400,397.7,17287580.04
35,2414464746,34918400,399.6,17371595.12
36,2415922669,34918400,398.9,17361111.98
37,2416103383,34918400,399.3,17359813.45
38,2414709900,34918400,399.5,17369831.47
39,2417530377,34918400,399.1,17349566.48
40,2414411842,34918400,399.6,17371975.76
41,2416557329,34918400,398.8,17356552.44
42,2415984296,34918400,399.3,17360669.14
43,2415145287,34918400,399.5,17366700.14
44,2417606900,34918400,399.1,17349017.33
45,2414926527,34918400,399.1,17368273.33
46,2417414583,34918400,399.1,17350397.53
47,2414683730,34918400,399.6,17370019.72
48,2416141839,34918400,398.9,17359537.14
49,2417216914,34918400,399.1,17351816.36
50,2413903922,34918400,399.7,17375631.08
51,2417700351,34918400,399.1,17348346.74
52,2413859975,34918400,399.3,17375947.42
53,2414393506,34918400,399.6,17372107.69
54,2416183165,34918400,399.3,17359240.23
55,2414613057,34918400,399.2,17370528.12
56,2416281979,34918400,399.3,17358530.32
57,2413321427,34918400,399.4,17379824.97
58,2415703098,34918400,399.4,17362689.99
59,2414740723,34918400,399.6,17369609.75
60,2414645484,34918400,399.2,17370294.84
61,2415585008,34918400,399.4,17363538.80
62,2414476729,34918400,399.6,17371508.91
63,2415678214,34918400,399.4,17362868.84
64,2414290252,34918400,399.2,17372850.66
65,2414382975,34918400,399.6,17372183.47
66,2416386078,34918400,399.3,17357782.51
67,2414372461,34918400,399.2,17372259.12
68,2415901847,34918400,399.4,17361261.61
69,2414051024,34918400,399.7,17374572.28
70,2422897312,34918400,398.2,17311135.64
71,2417300835,34918400,399.1,17351213.96
72,2417387227,34922496,399.1,17350593.87
73,2421920314,34922496,398.0,17318118.91
74,2417906670,34922496,399.0,17346866.41
75,2420527728,34922496,398.6,17328082.43
76,2418077913,34922496,399.0,17345637.94
77,2417644997,34922496,399.1,17348743.94
78,2421847683,34926592,398.4,17318638.28
79,2417986630,34926592,398.6,17346292.77
80,2420755871,34926592,398.6,17326449.36
81,2418684387,34926592,398.9,17341288.61
82,2420769065,34926592,398.6,17326354.92
83,2418302344,34926592,398.6,17344028.18
84,2417389455,34926592,399.5,17350577.88
85,2419030768,34926592,398.4,17338805.51
86,2418931998,34926592,398.9,17339513.49
87,2418787578,34926592,398.9,17340548.79
88,2419057858,34930688,398.4,17338611.34
89,2416678525,34930688,399.2,17355682.01
90,2418550671,34930688,398.9,17342247.36
91,2418277218,34930688,399.0,17344208.38
92,2418324519,34930688,399.0,17343869.14
93,2418585984,34930688,398.9,17341994.16
94,2421150546,34930688,398.5,17323624.95
95,2418064503,34930688,399.0,17345734.14
96,2421469147,34930688,398.0,17321345.62
97,2421525800,34930688,398.4,17320940.38
98,2419149008,34930688,398.8,17337958.04
99,2420658251,34930688,398.2,17327148.09
100,2418179997,34930688,399.0,17344905.69
