Trial,Latency_ns,RAM_Bytes,Throughput_bps
1,498088,13705216,1052601146.79
2,502458,13705216,1043446417.41
3,497366,13705216,1054129152.37
4,496773,13705216,1055387470.74
5,496255,13705216,1056489103.38
6,496032,13705216,1056964066.83
7,497921,13705216,1052954183.49
8,496662,13705216,1055623341.43
9,496477,13705216,1056016693.62
10,496254,13705216,1056491232.31
11,495995,13705216,1057042913.74
12,496143,13705216,1056727596.68
13,496088,13705216,1056844753.35
14,516921,13705216,1014251694.17
15,496643,13705216,1055663726.26
16,496032,13705216,1056964066.83
17,495995,13705216,1057042913.74
18,495977,13705216,1057081275.95
19,496051,13705216,1056923582.45
20,495847,13705216,1057358419.03
21,510791,13705216,1026423723.21
22,496217,13705216,1056570008.69
23,495550,13705216,1057992129.96
24,495736,13705216,1057595171.62
25,495829,13705216,1057396804.14
26,496032,13705216,1056964066.83
27,495570,13705216,1057949431.97
28,495458,13705216,1058188585.11
29,495958,13705216,1057121772.41
30,495699,13705216,1057674112.72
31,495755,13705216,1057554638.88
32,495643,13705216,1057793613.55
33,495810,13705216,1057437324.78
34,495810,13705216,1057437324.78
35,495977,13705216,1057081275.95
36,506643,13705216,1034827284.70
37,496107,13705216,1056804278.11
38,495754,13705216,1057556772.11
39,495551,13705216,1057989994.98
40,495643,13705216,1057793613.55
41,495643,13705216,1057793613.55
42,495921,13705216,1057200642.84
43,505421,13705216,1037329275.99
44,496329,13705216,1056331586.51
45,495847,13705216,1057358419.03
46,495810,13705216,1057437324.78
47,495625,13705216,1057832030.26
48,495736,13705216,1057595171.62
49,495699,13705216,1057674112.72
50,495625,13705216,1057832030.26
51,549587,13705216,953967251.77
52,497421,13709312,1054012596.98
53,496273,13709312,1056450784.15
54,496255,13709312,1056489103.38
55,495939,13709312,1057162271.97
56,496069,13709312,1056885231.69
57,495847,13709312,1057358419.03
58,507310,13709312,1033466716.60
59,495996,13709312,1057040782.59
60,495754,13709312,1057556772.11
61,495829,13709312,1057396804.14
62,495754,13709312,1057556772.11
63,495995,13709312,1057042913.74
64,495587,13709312,1057913141.39
65,506477,13709312,1035166453.76
66,495754,13709312,1057556772.11
67,495681,13709312,1057712520.75
68,495680,13709312,1057714654.62
69,495717,13709312,1057635707.47
70,495718,13709312,1057633573.93
71,495847,13709312,1057358419.03
72,495569,13709312,1057951566.78
73,504477,13709312,1039270373.08
74,495810,13709312,1057437324.78
75,495718,13709312,1057633573.93
76,495513,13709312,1058071130.32
77,495570,13709312,1057949431.97
78,496014,13709312,1057002423.32
79,496088,13709312,1056844753.35
80,504754,13709312,1038700040.02
81,495865,13709312,1057320036.70
82,496125,13709312,1056765936.00
83,495773,13709312,1057516242.31
84,495847,13709312,1057358419.03
85,495606,13709312,1057872584.27
86,495829,13709312,1057396804.14
87,504476,13709312,1039272433.18
