Trial,Latency_ns,RAM_Bytes,CPU_Percent,Throughput_bps
1,159721705,34557952,0.0,262601554.37
2,158665842,34557952,100.5,264349071.43
3,158933547,34557952,100.4,263903806.29
4,158273390,34557952,100.8,265004546.88
5,160487292,34557952,99.4,261348842.50
6,159128733,34557952,100.3,263580104.04
7,157715280,34557952,101.1,265942323.41
8,160252606,34557952,99.5,261731581.45
9,159640907,34557952,99.9,262734463.17
10,158745653,34557952,100.5,264216167.23
11,158697296,34557952,100.5,264296677.12
12,158962174,34557952,100.4,263856280.68
13,159623572,34557952,99.9,262762995.93
14,156004170,34557952,95.9,268859274.72
15,158751814,34557952,100.5,264205913.26
16,159589137,34557952,100.0,262819693.05
17,158872085,34557952,100.4,264005901.35
18,157933957,34557952,101.0,265574096.90
19,158330699,34557952,100.8,264908626.47
20,158102745,34557952,100.9,265290574.18
21,158018275,34557952,101.0,265432387.49
22,158124063,34557952,94.6,265254808.18
23,159258617,34557952,100.2,263365140.24
24,158711434,34557952,100.5,264273133.59
25,158956310,34557952,100.4,263866014.50
26,158300543,34557952,100.8,264959091.14
27,159862075,34557952,99.8,262370971.98
28,156620266,34557952,101.9,267801664.95
29,158932895,34562048,100.4,263904888.92
30,158737710,34562048,100.5,264229388.22
31,158442015,34562048,100.7,264722510.63
32,159065760,34562048,100.3,263684453.52
33,158881592,34562048,94.1,263990104.03
34,157890421,34562048,101.0,265647325.12
35,159049531,34562048,100.3,263711359.20
36,158364707,34562048,100.7,264851738.71
37,157500439,34562048,101.3,266305086.30
38,159011935,34562048,100.3,263773709.82
39,158671627,34562048,100.5,264339433.54
40,158713829,34562048,100.5,264269145.70
41,158705623,34562048,100.5,264282809.94
42,160035824,34562048,99.7,262086118.92
43,159055491,34562048,94.0,263701477.62
44,158918792,34562048,100.4,263928308.74
45,159393726,34562048,100.1,263141900.58
46,159666956,34562048,99.9,262691599.13
47,157470854,34562048,101.3,266355118.64
48,158272819,34562048,100.8,265005502.93
49,159187999,34562048,100.2,263481972.66
50,158778460,34562048,100.5,264161574.56
51,159213150,34562048,100.2,263440350.25
52,157919216,34562048,101.0,265598886.97
53,159554956,34562048,100.0,262875996.16
54,159306506,34562048,100.2,263285970.25
