Trial,Enc_Latency_ns,Enc_RAM_Bytes,CPU_Percent,Enc_Throughput_bps
1,13315,13893632,0.0,67292527.22
2,19296,13893632,0.0,46434494.20
3,12167,13893632,0.0,73641818.03
4,10815,13893632,0.0,82847896.44
5,10296,13893632,0.0,87024087.02
6,10463,13893632,0.0,85635095.10
7,10093,13893632,0.0,88774398.10
8,9871,13893632,0.0,90770945.19
9,9797,13893632,6515.5,91456568.34
10,9630,13893632,0.0,93042575.29
11,9592,13893632,0.0,93411175.98
12,9740,13893632,0.0,91991786.45
13,9704,13893632,0.0,92333058.53
14,9556,13893632,0.0,93763080.79
15,9796,13893632,0.0,91465904.45
16,9537,13893632,0.0,93949879.42
17,9723,13893632,0.0,92152627.79
18,9963,13893632,0.0,89932751.18
19,9685,13893632,0.0,92514197.21
20,9870,13893632,0.0,90780141.84
21,9888,13893632,0.0,90614886.73
22,10519,13893632,0.0,85179199.54
23,9722,13893632,0.0,92162106.56
24,9667,13893632,0.0,92686459.09
25,9815,13893632,0.0,91288843.61
26,9333,13893632,0.0,96003428.69
27,9741,13893632,0.0,91982342.68
28,9741,13893632,0.0,91982342.68
29,9500,13893632,0.0,94315789.47
30,10333,13897728,0.0,86712474.60
31,9815,13897728,0.0,91288843.61
32,10037,13897728,0.0,89269702.10
33,9963,13897728,0.0,89932751.18
34,9482,13897728,0.0,94494832.31
35,9370,13897728,0.0,95624332.98
36,9852,13897728,0.0,90946000.81
37,9185,13897728,0.0,97550353.84
38,9389,13897728,0.0,95430823.30
39,9667,13897728,0.0,92686459.09
40,9648,13897728,0.0,92868988.39
41,9703,13897728,0.0,92342574.46
42,9500,13897728,0.0,94315789.47
43,9389,13897728,0.0,95430823.30
44,9555,13897728,0.0,93772893.77
45,9592,13897728,0.0,93411175.98
46,9574,13897728,0.0,93586797.58
47,9593,13897728,0.0,93401438.55
48,36704,13897728,0.0,24411508.28
49,10056,13897728,0.0,89101034.21
50,9852,13897728,0.0,90946000.81
51,9629,13897728,0.0,93052238.03
52,9556,13897728,0.0,93763080.79
53,9537,13897728,0.0,93949879.42
54,9537,13897728,0.0,93949879.42
55,9592,13897728,0.0,93411175.98
56,9444,13897728,0.0,94875052.94
57,9611,13897728,0.0,93226511.29
58,9241,13897728,0.0,96959203.55
59,9871,13897728,0.0,90770945.19
60,9667,13897728,0.0,92686459.09
61,9833,13897728,0.0,91121732.94
62,9907,13897728,0.0,90441102.25
63,10056,13901824,0.0,89101034.21
64,10574,13901824,0.0,84736145.26
65,9870,13901824,0.0,90780141.84
66,11759,13901824,0.0,76196955.52
67,9796,13901824,0.0,91465904.45
68,9482,13901824,0.0,94494832.31
69,9871,13901824,0.0,90770945.19
70,9889,13901824,0.0,90605723.53
71,9408,13901824,0.0,95238095.24
72,9574,13901824,0.0,93586797.58
73,9982,13905920,0.0,89761570.83
74,9296,13905920,0.0,96385542.17
75,9907,13905920,0.0,90441102.25
76,9685,13905920,0.0,92514197.21
77,9630,13905920,6831.2,93042575.29
78,9907,13905920,0.0,90441102.25
79,9408,13905920,0.0,95238095.24
80,9222,13905920,0.0,97158967.69
81,9297,13905920,0.0,96375174.79
82,9240,13905920,0.0,96969696.97
83,9537,13905920,0.0,93949879.42
84,9482,13905920,0.0,94494832.31
85,9574,13905920,0.0,93586797.58
86,9389,13905920,0.0,95430823.30
87,9444,13905920,0.0,94875052.94
88,9759,13905920,0.0,91812685.73
89,9371,13905920,0.0,95614128.69
90,9500,13905920,0.0,94315789.47
91,9555,13905920,0.0,93772893.77
92,9500,13905920,0.0,94315789.47
93,9370,13905920,0.0,95624332.98
94,9444,13905920,0.0,94875052.94
95,9278,13905920,0.0,96572537.18
96,9351,13905920,0.0,95818629.02
97,9389,13905920,0.0,95430823.30
98,9574,13905920,0.0,93586797.58
99,9185,13905920,0.0,97550353.84
100,9463,13905920,0.0,94684560.92
101,9481,13905920,0.0,94504799.07
102,10592,13905920,0.0,84592145.02
103,9648,13905920,0.0,92868988.39
104,9815,13905920,0.0,91288843.61
105,9370,13905920,0.0,95624332.98
106,9481,13905920,0.0,94504799.07
107,9259,13905920,0.0,96770709.58
108,9370,13905920,0.0,95624332.98
109,9463,13905920,0.0,94684560.92
110,9445,13905920,0.0,94865007.94
111,9444,13905920,0.0,94875052.94
112,9259,13905920,0.0,96770709.58
113,9278,13905920,0.0,96572537.18
114,9240,13905920,0.0,96969696.97
115,9278,13905920,0.0,96572537.18
116,10019,13910016,0.0,89430082.84
117,9519,13910016,0.0,94127534.40
118,9648,13910016,0.0,92868988.39
119,9519,13910016,0.0,94127534.40
120,9408,13910016,0.0,95238095.24
121,9537,13910016,0.0,93949879.42
122,9574,13910016,0.0,93586797.58
123,9685,13910016,0.0,92514197.21
124,9537,13910016,0.0,93949879.42
125,9815,13910016,0.0,91288843.61
126,9593,13910016,0.0,93401438.55
127,9704,13914112,0.0,92333058.53
128,9963,13914112,0.0,89932751.18
129,24926,13914112,0.0,35946401.35
130,9556,13914112,0.0,93763080.79
131,9722,13914112,0.0,92162106.56
132,9871,13914112,0.0,90770945.19
133,9704,13914112,0.0,92333058.53
134,9611,13914112,0.0,93226511.29
135,9667,13914112,0.0,92686459.09
136,9555,13914112,0.0,93772893.77
137,9648,13914112,0.0,92868988.39
138,9611,13914112,0.0,93226511.29
139,9556,13914112,0.0,93763080.79
140,9759,13914112,0.0,91812685.73
141,9815,13914112,0.0,91288843.61
142,9575,13914112,0.0,93577023.50
143,9685,13914112,0.0,92514197.21
144,9759,13914112,0.0,91812685.73
145,9537,13914112,6899.2,93949879.42
146,9777,13914112,0.0,91643653.47
147,9556,13914112,0.0,93763080.79
148,9963,13914112,0.0,89932751.18
149,9592,13914112,0.0,93411175.98
150,9463,13914112,0.0,94684560.92
151,9593,13914112,0.0,93401438.55
152,9518,13914112,0.0,94137423.83
