Trial,Dec_Latency_ns,Dec_RAM_Bytes,CPU_Percent,Dec_Throughput_bps
1,54131240,34889728,0.0,774842179.86
2,54706534,34889728,90.5,766693938.24
3,54187185,34889728,91.4,774042202.04
4,54008204,34889728,110.0,776607346.54
5,54123870,34889728,91.6,774947689.44
6,54088667,34889728,109.9,775452055.42
7,54157944,34889728,91.5,774460123.52
8,54163241,34889728,109.8,774384383.68
9,54095000,34889728,91.6,775361271.84
10,54092592,34889728,109.9,775395788.02
11,54113759,34889728,91.6,775092486.18
12,54176129,34889728,109.8,774200164.80
13,54008741,34889728,91.8,776599624.86
14,54182758,34889728,109.8,774105445.13
15,54109870,34889728,91.6,775148193.85
16,54182759,34889728,91.5,774105430.84
17,54128981,34889728,109.9,774874516.85
18,53976316,34889728,91.8,777066148.79
19,54126685,34889728,109.9,774907386.26
20,54013870,34889728,91.7,776525881.22
21,54180796,34889728,91.4,774133477.11
22,54154055,34889728,109.8,774515740.33
23,54032963,34889728,91.7,776251489.30
24,54194592,34889728,109.6,773936410.48
25,54192963,34889728,91.5,773959674.43
26,54034704,34889728,110.1,776226478.45
27,53984686,34889728,91.7,776945669.37
28,54240036,34893824,109.6,773287982.33
29,54039222,34893824,91.7,776161581.30
30,54043093,34893824,91.7,776105986.38
31,54217406,34893824,109.7,773610747.81
32,53973556,34893824,91.8,777105884.96
33,54232092,34897920,109.7,773401254.74
34,54030759,34897920,91.7,776283153.82
35,54324259,34897920,109.5,772089095.59
36,54084926,34897920,91.6,775505692.66
37,54118444,34897920,109.9,775025386.91
38,54365647,34897920,91.2,771501312.22
39,54103278,34897920,109.9,775242638.72
40,54157851,34897920,91.5,774461453.43
41,54220129,34897920,91.4,773571896.15
42,54089371,34897920,109.9,775441962.53
43,54032241,34897920,91.7,776261861.88
44,54215389,34897920,109.7,773639528.81
45,54090223,34897920,91.6,775429748.18
46,53987001,34897920,110.1,776912353.40
47,54153203,34897920,91.5,774527925.89
48,53986056,34897920,110.2,776925952.88
49,53989223,34897920,91.8,776880378.52
50,54090592,34897920,109.9,775424458.29
51,54210018,34897920,91.4,773716179.18
52,53964241,34897920,91.8,777240024.56
53,54143018,34897920,109.8,774673624.58
54,54099537,34897920,91.6,775296246.99
55,54079278,34897920,110.0,775586685.90
56,54152851,34897920,91.5,774532960.42
57,54029982,34897920,110.1,776294317.48
58,54187425,34897920,91.5,774038773.76
59,54002963,34897920,110.1,776682716.47
60,54063018,34897920,91.7,775819951.45
61,54059055,34897920,109.9,775876825.82
62,54177703,34897920,91.5,774177672.32
63,54024538,34897920,91.7,776372543.90
64,53945204,34897920,110.2,777514308.78
65,54187277,34897920,91.5,774040887.86
66,54086389,34897920,109.9,775484715.76
67,54085815,34897920,91.6,775492945.79
68,54089408,34897920,110.0,775441432.08
69,54045481,34897920,91.7,776071694.13
70,54102630,34897920,110.0,775251923.98
71,54247426,34902016,91.3,773182639.12
72,54217611,34902016,109.7,773607822.74
73,54307907,34902016,91.3,772321570.04
74,54586405,34902016,108.9,768381211.40
75,54351203,34902016,91.2,771706341.07
76,54593590,34902016,108.9,768280085.63
77,54435184,34902016,91.0,770515775.24
78,54532887,34902016,109.1,769135292.62
79,54735775,34902016,90.6,766284354.25
80,54626776,34902016,108.8,767813352.19
81,54484832,34902016,91.0,769813661.17
82,54408183,34902016,109.3,770898156.99
83,54071389,34902016,91.6,775699843.78
84,54163036,34902016,91.5,774387314.63
85,54127648,34902016,109.9,774893599.66
86,54008834,34902016,91.8,776598287.61
87,54170537,34902016,109.8,774280085.13
88,54268944,34902016,91.3,772876067.02
89,54042389,34902016,110.0,776116096.57
90,54256555,34902016,91.3,773052546.37
91,54036927,34902016,110.1,776194545.63
92,54154000,34902016,91.4,774516526.94
93,54059481,34902016,109.7,775870711.74
94,54155462,34902016,91.5,774495617.82
95,54044556,34902016,91.7,776084977.00
96,54206333,34902016,109.7,773768777.16
97,54129166,34902016,91.6,774871868.52
98,54214203,34902016,109.7,773656453.09
99,54271832,34902016,91.3,772834939.49
100,54139815,34902016,109.9,774719455.54
101,54043796,34902016,91.7,776095890.82
102,54083703,34902016,109.9,775523229.24
