Trial,Enc_Latency_ns,Enc_RAM_Bytes,CPU_Percent,Enc_Throughput_bps
1,58323869,34897920,0.0,719142414.92
2,58416368,34897920,101.8,718003693.76
3,58336035,34897920,102.0,718992437.52
4,58209536,34897920,85.2,720554927.63
5,58315073,34897920,102.0,719250887.33
6,58350776,34897920,102.0,718810800.39
7,58292869,34897920,102.1,719524853.03
8,58446609,34897920,101.8,717632189.75
9,58208499,34897920,102.2,720567764.51
10,58267795,34897920,102.1,719834481.47
11,58221832,34897920,102.2,720402752.01
12,58236684,34897920,85.1,720219028.95
13,58374498,34897920,101.9,718518692.87
14,58417201,34897920,101.9,717993455.39
15,58354424,34897920,102.0,718765864.26
16,58303980,34897920,102.1,719387733.05
17,58308702,34897920,102.1,719329475.04
18,58188351,34897920,102.3,720817264.61
19,58481720,34897920,101.7,717201340.86
20,58381979,34897920,84.9,718426622.71
21,58225555,34897920,102.2,720356688.74
22,58349905,34897920,102.0,718821530.22
23,58354609,34897920,102.0,718763585.58
24,58241813,34897920,102.2,720155603.67
25,58380942,34897920,101.9,718439383.87
26,58457220,34897920,101.8,717501927.05
27,58195776,34897920,102.2,720725298.00
28,58278424,34902016,85.0,719703195.82
29,58287258,34902016,102.1,719594117.81
30,58437775,34902016,101.9,717740673.73
31,60403136,34902016,98.6,694387258.30
32,58562497,34902016,101.6,716212083.65
33,58378294,34902016,101.9,718471971.79
34,58468238,34902016,101.8,717366717.98
35,58264980,34902016,102.1,719869259.37
36,58302424,34902016,102.1,719406932.38
37,58372517,34902016,84.9,718543077.39
38,58284165,34902016,102.1,719632304.93
39,58220462,34902016,102.2,720419703.99
40,58529275,34902016,101.6,716618615.21
41,58328665,34902016,102.0,719083284.35
42,58455405,34902016,101.8,717524204.99
43,58258202,34902016,102.1,719953011.94
44,58272869,34902016,102.1,719771803.24
45,58283572,34902016,85.1,719639626.75
46,58341590,34902016,102.0,718923978.59
47,58326961,34902016,102.0,719104292.10
48,58363442,34906112,102.0,718654804.49
49,58591775,34906112,101.5,715854196.26
50,58373313,34906112,101.9,718533279.07
51,58455738,34906112,101.8,717520117.53
52,58255017,34906112,102.1,719992374.22
53,58274276,34906112,102.1,719754424.75
54,58191851,34906112,85.2,720773910.42
55,58294998,34906112,102.1,719498575.16
56,58228610,34906112,102.1,720318894.78
57,58441720,34906112,101.8,717692223.98
58,58305813,34906112,102.1,719365117.16
59,58415775,34906112,84.9,718010982.48
60,58166111,34906112,102.3,721092871.41
61,58277295,34906112,102.1,719717138.55
62,58166721,34906112,102.3,721085309.24
63,58419350,34906112,101.9,717967043.45
64,58373072,34906112,101.9,718536245.62
65,58612701,34906112,101.5,715598620.85
66,58327350,34906112,102.0,719099496.21
67,58278073,34906112,85.1,719707530.48
68,58465460,34906112,101.8,717400803.83
69,58247017,34906112,102.2,720091262.36
70,58248073,34906112,102.2,720078207.57
71,58230110,34910208,102.1,720300339.46
72,58453831,34910208,101.8,717543525.93
73,58326109,34910208,102.0,719114796.43
74,58336295,34910208,102.0,718989233.03
75,58375035,34910208,84.9,718512083.12
76,58354405,34910208,102.0,718766098.29
77,58229240,34910208,102.2,720311101.43
78,58225517,34910208,102.2,720357158.87
79,58285721,34910208,102.1,719613093.57
80,58244184,34910208,102.2,720126287.63
81,58405053,34910208,101.9,718142794.94
82,58462404,34910208,101.8,717438304.45
83,58451943,34910208,84.8,717566702.62
84,58329554,34910208,102.0,719072324.81
85,58307961,34910208,102.1,719338616.56
86,58258554,34910208,102.2,719948661.96
87,58307332,34910208,102.1,719346376.54
88,58456127,34910208,101.8,717515342.75
89,58427831,34910208,101.8,717862828.08
90,58294036,34910208,102.0,719510448.72
91,58376424,34910208,101.9,718494986.95
92,58365942,34910208,102.0,718624022.21
93,58295591,34910208,102.1,719491256.21
94,58362461,34910208,102.0,718666884.18
95,58334739,34910208,102.0,719008411.09
96,58395535,34910208,101.9,718259846.41
97,58350183,34910208,85.0,718818105.51
98,58441794,34910208,101.8,717691315.23
99,58348220,34910208,102.0,718842288.59
100,58450109,34910208,101.8,717589217.84
101,58315869,34910208,102.0,719241069.70
102,58318701,34910208,102.0,719206142.81
103,58373979,34910208,101.9,718525081.18
104,58298164,34910208,102.1,719459501.33
105,58311276,34910208,85.0,719297722.11
106,58417739,34910208,101.9,717986843.00
107,58467145,34910208,101.8,717380128.62
108,58402220,34910208,101.9,718177630.92
109,58454979,34910208,101.8,717529434.06
110,58403794,34910208,101.9,718158275.81
111,58303554,34910208,85.0,719392989.32
112,58314591,34914304,102.0,719256832.31
113,58288351,34914304,102.0,719580624.27
114,58270406,34918400,102.1,719802226.88
115,58455387,34918400,101.8,717524425.94
116,58374257,34918400,102.0,718521659.30
117,58402572,34918400,101.9,718173302.37
118,58372295,34918400,101.8,718545810.13
119,58418609,34918400,84.9,717976150.37
120,58252591,34918400,102.1,720022359.18
121,58246147,34918400,102.2,720102018.08
122,58330684,34918400,102.0,719058394.72
123,58346461,34918400,102.0,718863959.89
124,58380406,34918400,101.9,718445979.97
125,58390109,34918400,101.9,718326591.92
126,58320795,34918400,102.0,719180319.82
127,58521460,34918400,101.7,716714313.01
128,58330184,34918400,85.0,719064558.41
129,58286406,34918400,102.1,719604636.46
130,58309572,34918400,102.1,719318742.38
131,58253610,34918400,102.1,720009764.20
132,58349276,34918400,102.0,718829279.05
133,60056435,34918400,99.1,698395900.46
134,58597626,34918400,101.5,715782717.89
135,58378238,34918400,101.9,718472660.99
136,58491757,34918400,84.8,717078271.39
137,58335609,34918400,102.0,718997688.02
138,58267684,34918400,119.1,719835852.75
139,58329350,34918400,102.0,719074839.68
140,58248554,34918400,102.2,720072261.36
141,58330461,34918400,85.0,719061143.71
142,58487497,34918400,101.7,717130500.56
143,58312405,34918400,102.1,719283795.62
144,58514775,34918400,101.7,716796193.78
145,58225980,34918400,102.2,720351430.75
146,58338831,34918400,102.0,718957978.43
147,58375128,34918400,101.9,718510938.43
148,58288684,34918400,102.1,719576513.34
149,58459071,34918400,101.8,717479208.66
150,58525498,34918400,84.7,716664862.89
151,58373535,34918400,101.9,718530546.42
152,58358424,34918400,101.9,718716598.65
153,58432554,34918400,101.9,717804804.49
154,58320683,34918400,102.1,719181700.94
155,58277276,34918400,102.1,719717373.20
156,58457516,34922496,101.8,717498293.97
157,58251554,34922496,102.2,720035177.09
158,58379775,34922496,84.9,718453745.33
159,58496961,34922496,101.7,717014478.75
160,58255924,34922496,102.2,719981164.49
161,58498739,34922496,101.7,716992685.94
162,58383405,34922496,101.9,718409075.32
163,58287239,34922496,102.1,719594352.38
164,58441850,34922496,101.8,717690627.52
165,58346795,34922496,102.0,718859844.83
166,58445294,34922496,101.7,717648336.24
167,58391294,34922496,84.9,718312014.12
168,58382849,34922496,101.9,718415916.98
169,58242925,34922496,102.2,720141854.14
170,58431387,34922496,101.9,717819140.59
171,58268443,34922496,102.1,719826476.23
172,58293980,34922496,102.1,719511139.92
173,58346702,34922496,102.0,718860990.63
174,58222906,34922496,102.2,720389463.21
175,58369813,34926592,85.0,718576364.12
176,58535442,34926592,101.6,716543115.88
177,58299239,34926592,102.1,719446234.97
178,58405146,34926592,101.9,718141651.42
179,58431683,34926592,101.8,717815504.30
180,58317535,34926592,102.0,719220522.61
181,58347943,34926592,102.0,718845701.21
182,58275535,34926592,85.0,719738874.98
183,58383090,34926592,101.9,718412951.42
184,58437461,34926592,101.8,717744530.35
185,58399146,34926592,101.9,718215434.18
186,58284869,34926592,102.1,719623612.78
187,58553238,34926592,101.6,716325337.98
188,58225943,34926592,102.2,720351888.50
189,58234480,34926592,85.1,720246287.08
190,58374313,34926592,102.0,718520970.00
191,58253758,34926592,102.2,720007934.94
192,58220184,34926592,102.2,720423143.97
193,58520034,34926592,101.7,716731777.70
194,58384257,34926592,101.9,718398591.59
195,58410757,34926592,101.9,718072665.96
196,58333869,34926592,85.0,719019134.49
197,58246740,34926592,102.1,720094686.84
198,58314184,34930688,102.0,719261852.31
199,58172555,34930688,102.3,721012993.15
200,58448720,34930688,101.8,717606270.93
201,58287369,34930688,102.1,719592747.44
202,58398794,34930688,84.9,718219763.24
203,58400479,34930688,101.9,718199040.80
204,58468628,34930688,101.8,717361932.97
205,58429627,34930688,101.8,717840762.53
206,58394423,34930688,101.9,718273524.17
207,58303313,34930688,102.1,719395962.97
208,58330479,34930688,102.0,719060921.82
209,58275554,34930688,102.1,719738640.32
210,58426183,34930688,101.9,717883076.50
211,58416017,34930688,84.9,718008007.97
212,58499424,34930688,101.8,716984290.31
213,58304536,34930688,102.1,719380872.87
214,58398405,34930688,101.9,718224547.40
215,58360980,34930688,102.0,718685121.46
216,58280183,34930688,102.1,719681473.89
217,58408812,34930688,101.9,718096577.62
218,58471201,34930688,101.7,717330365.76
219,58590145,34930688,84.6,715874111.59
220,58279425,34930688,102.1,719690834.29
221,58305850,34930688,102.0,719364660.66
222,58378035,34930688,101.9,718475159.36
223,58277850,34930688,102.1,719710284.44
224,58344998,34930688,102.0,718881985.39
225,58409961,34930688,101.8,718082451.72
226,58269906,34930688,102.1,719808403.33
227,58364202,34930688,102.0,718645446.40
228,58239277,34930688,85.2,720186962.49
229,58429312,34930688,101.8,717844632.50
230,58334924,34930688,102.0,719006130.87
231,58293498,34930688,102.1,719517089.20
232,58687534,34930688,101.4,714686154.64
233,58350146,34930688,102.0,718818561.31
234,58387350,34930688,101.9,718360535.29
235,59871120,34930688,99.4,700557597.72
236,58404850,34930688,84.9,718145291.02
237,58308887,34930688,102.1,719327192.78
238,58313702,34930688,102.0,719267797.47
239,58348535,34934784,118.9,718838407.85
240,58304332,34934784,102.0,719383389.90
241,58259387,34938880,85.1,719938368.04
242,58342887,34938880,102.0,718907996.45
243,58240092,34938880,102.2,720176884.34
244,58458257,34938880,101.8,717489199.17
245,58214073,34938880,102.2,720498770.12
246,58649663,34938880,101.5,715147638.61
247,58338628,34938880,102.0,718960480.18
248,58388480,34938880,101.9,718346632.76
249,58341739,34938880,102.0,718922142.52
250,58384035,34938880,84.9,718401323.24
251,58406757,34938880,101.9,718121843.33
252,58424331,34938880,101.9,717905832.76
253,58490868,34938880,101.7,717089170.23
254,58255573,34938880,102.1,719985502.50
255,58478090,34938880,101.8,717245860.80
256,58298980,34938880,102.1,719449431.19
257,58376517,34938880,101.9,718493842.31
258,58201110,34938880,102.2,720659245.16
259,58350424,34938880,85.0,718815136.63
260,58274147,34938880,102.1,719756018.05
261,58385386,34938880,101.9,718384699.90
