Trial,Dec_Latency_ns,Dec_RAM_Bytes,CPU_Percent,Dec_Throughput_bps
1,39162535,34582528,0.0,1071000536.61
2,39348404,34582528,100.3,1065941480.12
3,38963869,34582528,101.4,1076461272.36
4,38963795,34582528,101.4,1076463316.78
5,38944924,34582528,101.5,1076984923.63
6,39034647,34582528,101.2,1074509422.36
7,38987573,34582528,101.4,1075806796.18
8,38990443,34582528,76.0,1075727608.43
9,38904702,34582528,101.5,1078098374.84
10,39288460,34582528,100.6,1067567830.35
11,39193608,34582528,100.8,1070151438.98
12,38987331,34582528,101.4,1075813473.87
13,39006757,34582528,101.3,1075277701.25
14,39156571,34582528,100.9,1071163662.42
15,39103165,34582528,101.1,1072626627.54
16,38964369,34582528,101.4,1076447458.96
17,39085794,34582528,75.9,1073103337.75
18,39296108,34582528,125.5,1067360055.10
19,39120665,34582528,100.9,1072146805.28
20,39012628,34582528,101.3,1075115882.99
21,39122295,34582528,101.1,1072102135.11
22,39362793,34582528,100.4,1065551827.08
23,39012165,34582528,101.3,1075128642.57
24,39459348,34582528,100.2,1062944476.43
25,39260793,34582528,100.7,1068320143.20
26,39182405,34582528,100.9,1070457415.77
27,39239812,34586624,100.7,1068891359.62
28,39071146,34586624,101.1,1073505650.44
29,38996517,34586624,101.3,1075560055.79
30,39054369,34586624,101.1,1073966807.66
31,39056832,34586624,101.2,1073899081.22
32,38943758,34586624,101.5,1077017169.22
33,39261812,34586624,100.7,1068292416.05
34,39110128,34586624,101.1,1072435661.68
35,39029072,34586624,101.3,1074662907.69
36,39107128,34586624,101.1,1072517930.75
37,39098831,34586624,101.1,1072745525.31
38,39081702,34586624,101.1,1073215695.67
39,39210590,34590720,100.3,1069687959.30
40,39007054,34590720,75.7,1075269514.07
41,39145054,34590720,101.0,1071478813.13
42,38944758,34590720,101.5,1076989514.22
43,38968332,34590720,101.4,1076337986.44
44,39020479,34590720,101.3,1074899567.48
45,39061665,34590720,101.2,1073766210.43
46,38950776,34590720,101.5,1076823116.44
47,39013962,34590720,101.3,1075079121.67
48,39031628,34590720,101.2,1074592533.01
49,39219997,34590720,100.8,1069431392.36
50,39209812,34590720,100.8,1069709184.02
51,39196201,34590720,100.9,1070080643.78
52,39204608,34590720,100.8,1069851176.68
53,39398626,34590720,100.3,1064582709.05
54,39578495,34590720,99.9,1059744591.10
55,39655106,34590720,99.7,1057697235.76
56,39771254,34590720,99.5,1054608335.96
57,39835809,34590720,99.3,1052899314.78
58,39764310,34590720,99.4,1054792501.11
59,40139975,34590720,98.5,1044920830.17
60,39764661,34590720,99.5,1054783190.53
61,39841087,34590720,99.1,1052759830.57
62,39654792,34590720,99.5,1057705610.96
63,39826031,34590720,98.9,1053157820.32
64,39667087,34590720,98.9,1057377770.14
65,39854735,34590720,99.2,1052399319.68
66,39683754,34590720,99.6,1056933676.18
67,39661235,34590720,99.7,1057533785.82
68,39631643,34590720,99.8,1058323421.01
69,39395885,34590720,100.4,1064656778.24
70,39212886,34594816,100.7,1069625326.74
71,39680143,34598912,99.6,1057029860.00
72,39597810,34598912,99.8,1059227669.41
73,39772717,34598912,99.4,1054569543.24
74,39674217,34598912,99.5,1057187744.88
75,39521310,34598912,99.3,1061277978.89
76,39803531,34598912,99.3,1053753145.67
77,39572292,34598912,99.9,1059910707.22
78,39667124,34598912,99.7,1057376783.86
79,39480552,34598912,99.7,1062373595.99
80,39875049,34598912,99.2,1051863183.92
81,39323034,34598912,100.5,1066629192.45
82,39576199,34598912,99.8,1059806071.83
83,39556218,34598912,99.9,1060341410.80
