Trial,Dec_Latency_ns,Dec_RAM_Bytes,CPU_Percent,Dec_Throughput_bps
1,2435832263,29646848,0.0,17219208.66
2,2429674803,29646848,399.1,17262846.84
3,2432905849,29646848,398.6,17239920.74
4,2433103218,29646848,398.6,17238522.27
5,2429820456,29646848,399.1,17261812.04
6,2432565601,29646848,398.7,17242332.12
7,2430656948,29646848,399.0,17255871.52
8,2429154473,29646848,399.2,17266544.58
9,2430866542,29646848,399.0,17254383.68
10,2430737251,29646848,399.0,17255301.45
11,2429351441,29646848,399.2,17265144.64
12,2431064437,29646848,398.5,17252979.13
13,2432032905,29646848,398.8,17246108.77
14,2431462992,29646848,398.9,17250151.10
15,2433082895,29646848,398.6,17238666.26
16,2430126944,29646848,399.1,17259634.98
17,2433761094,29646848,398.5,17233862.48
18,2429950286,29646848,398.7,17260889.76
19,2432999372,29646848,398.6,17239258.05
20,2432639029,29646848,398.7,17241811.67
21,2430019703,29646848,399.1,17260396.67
22,2434033347,29646848,398.4,17231934.83
23,2429651456,29646848,399.2,17263012.72
24,2432337363,29646848,398.7,17243950.05
25,2429154564,29646848,399.2,17266543.93
26,2429272159,29646848,399.2,17265708.10
27,2432533500,29646848,398.7,17242559.66
28,2428907357,29646848,399.7,17268301.27
29,2431992405,29650944,398.4,17246395.96
30,2429015771,29650944,399.3,17267530.54
31,2432197503,29650944,398.7,17244941.64
32,2429352959,29650944,399.2,17265133.85
33,2429992195,29650944,399.1,17260592.07
34,2432515659,29650944,398.7,17242686.12
35,2428794073,29650944,399.3,17269106.70
36,2432317134,29650944,398.7,17244093.47
37,2428344071,29650944,399.0,17272306.88
38,2429725146,29650944,399.1,17262489.16
39,2430538694,29650944,399.0,17256711.08
40,2428691839,29650944,399.3,17269833.63
41,2432320695,29650944,398.3,17244068.22
42,2428918159,29650944,399.3,17268224.47
43,2430288477,29650944,399.1,17258487.79
44,2430183742,29650944,399.1,17259231.59
45,2430231913,29650944,399.1,17258889.48
46,2430278158,29650944,399.1,17258561.07
47,2428909536,29650944,399.3,17268285.78
48,2430435481,29650944,399.0,17257443.91
49,2431996907,29650944,398.8,17246364.04
50,2433740625,29650944,398.5,17234007.42
51,2433779945,29650944,398.5,17233728.99
52,2433769358,29650944,398.5,17233803.96
53,2430651764,29650944,399.0,17255908.32
54,2432314614,29650944,398.7,17244111.33
55,2431657019,29650944,398.8,17248774.67
56,2431000943,29655040,398.9,17253429.75
57,2434014697,29655040,398.0,17232066.86
58,2430429852,29655040,399.0,17257483.88
59,2434092597,29655040,398.4,17231515.37
60,2430993133,29655040,398.9,17253485.18
61,2444410150,29655040,397.2,17158783.28
62,2430788222,29655040,399.0,17254939.62
63,2430134534,29655040,399.1,17259581.07
64,2433182253,29655040,398.2,17237962.32
65,2430446709,29655040,399.0,17257364.19
66,2434089287,29655040,398.4,17231538.80
67,2430968788,29655040,398.9,17253657.97
68,2434785493,29655040,398.3,17226611.59
69,2431028392,29655040,398.9,17253234.94
70,2431180748,29655040,398.9,17252153.73
71,2434366630,29655040,398.4,17229575.65
72,2431725753,29659136,398.4,17248287.13
73,2434686990,29659136,398.7,17227308.55
74,2431275107,29659136,398.9,17251484.16
75,2434527932,29659136,398.4,17228434.08
76,2432331640,29659136,398.7,17243990.63
77,2431757304,29659136,398.4,17248063.34
78,2435320292,29659136,398.2,17222828.61
79,2432085240,29659136,398.8,17245737.65
80,2434267601,29659136,398.8,17230276.57
81,2431867702,29659136,398.8,17247280.34
82,2434429316,29659136,398.4,17229131.99
83,2431157431,29659136,398.9,17252319.19
84,2432147071,29659136,398.3,17245299.23
85,2430083926,29659136,399.1,17259940.51
86,2430793608,29659136,399.0,17254901.39
87,2433053208,29659136,398.6,17238876.59
88,2430343389,29659136,399.0,17258097.84
89,2432942744,29659136,398.6,17239659.30
90,2429736358,29659136,398.7,17262409.50
91,2433648081,29659136,398.5,17234662.78
92,2430005517,29659136,399.1,17260497.44
93,2430587256,29659136,399.0,17256366.29
94,2433336591,29659136,398.5,17236868.98
95,2429758138,29659136,399.1,17262254.77
96,2434028818,29659136,398.4,17231966.89
97,2430145129,29659136,399.1,17259505.82
98,2433448307,29659136,398.5,17236077.66
99,2430386215,29659136,398.6,17257793.74
100,2431479965,29659136,399.3,17250030.68
