Trial,Latency_ns,RAM_Bytes,CPU_Percent,Throughput_bps
1,158369841,34541568,0.0,264843152.81
2,157694446,34541568,101.2,265977458.71
3,158464094,34541568,100.7,264685626.51
4,158534330,34541568,100.6,264568361.94
5,158168440,34541568,94.6,265180386.18
6,159323850,34541568,100.1,263257308.93
7,159090694,34541568,100.3,263643126.73
8,158811799,34541568,100.5,264106119.72
9,160262731,34541568,99.5,261715045.90
10,159648812,34541568,99.9,262721453.89
11,160376760,34541568,99.5,261528964.67
12,159041155,34541568,100.3,263725247.72
13,159862969,34541568,99.8,262369504.72
14,158747669,34541568,100.5,264212811.84
15,159633369,34541568,99.9,262746869.67
16,159299196,34541568,100.1,263298052.05
17,160589710,34541568,99.4,261182164.16
18,158388348,34541568,100.7,264812207.02
19,159496704,34541568,100.0,262972004.74
20,159583682,34541568,100.0,262828676.93
21,158309407,34541568,100.8,264944255.65
22,158983615,34541568,100.4,263820696.24
23,159505108,34541568,100.0,262958149.28
24,159201307,34541568,100.2,263459947.60
25,158304978,34541568,100.8,264951668.17
26,158328347,34541568,100.8,264912561.74
27,160538024,34541568,99.4,261266253.03
28,158150706,34541568,100.9,265210121.79
29,158722233,34545664,100.5,264255153.21
30,159425052,34545664,100.1,263090194.88
31,158205979,34545664,94.5,265117464.37
32,158735176,34545664,100.5,264233606.29
33,158282068,34545664,100.8,264990017.69
34,159069347,34545664,100.3,263678507.46
35,159229484,34545664,100.2,263413326.14
36,159630928,34545664,99.9,262750887.47
37,158268769,34545664,100.8,265012284.26
38,158575959,34545664,100.6,264498908.06
39,160630845,34545664,99.3,261115279.57
40,157285666,34545664,101.4,266668724.92
41,159106338,34545664,100.3,263617204.24
42,159173205,34545664,93.9,263506461.40
43,157395324,34545664,101.4,266482935.67
44,158814666,34545664,100.5,264101351.95
45,158395704,34545664,100.7,264799908.97
46,158509199,34545664,100.6,264610308.20
47,158789240,34545664,100.5,264143640.97
48,159345805,34545664,100.1,263221036.79
49,157615218,34545664,101.2,266111156.86
50,160757499,34545664,99.2,260909557.94
51,159770119,34545664,99.9,262521980.10
52,158931991,34545664,100.4,263906390.00
53,159080390,34545664,100.3,263660203.50
54,159551496,34545664,100.0,262881696.83
55,159510109,34545664,100.0,262949904.95
56,158850824,34545664,94.1,264041236.58
57,158901971,34545664,100.4,263956247.59
58,157955439,34545664,101.0,265537978.72
59,159044075,34545664,100.3,263720405.81
60,158199221,34545664,100.8,265128789.73
61,159024535,34545664,100.3,263752810.22
62,158937558,34545664,100.4,263897146.32
63,159221378,34545664,100.2,263426736.58
64,158590074,34545664,100.6,264475366.85
65,159173195,34545664,100.2,263506477.96
66,160408025,34545664,99.5,261477990.27
67,158755322,34545664,100.5,264200075.13
68,159203356,34545664,100.2,263456556.78
69,158905223,34545664,100.4,263950845.72
70,158091242,34545664,94.6,265309877.19
71,158368136,34545664,100.7,264846004.12
72,159779791,34549760,99.8,262506088.77
73,159830583,34549760,99.8,262422667.88
74,158927274,34549760,100.4,263914222.80
75,157833621,34549760,101.0,265742924.32
76,158390873,34549760,100.7,264807985.50
77,159371438,34549760,100.1,263178700.82
78,159097599,34549760,100.3,263631684.35
79,157727030,34549760,101.2,265922511.82
80,159967889,34549760,99.7,262197421.38
81,158703003,34549760,100.5,264287172.94
82,159457635,34549760,100.0,263036435.98
83,157396470,34549760,101.4,266480995.41
84,159390860,34549760,100.1,263146632.12
85,158794625,34549760,100.5,264134683.40
86,159388190,34549760,100.1,263151040.24
87,159370209,34549760,100.1,263180730.35
88,159788376,34549760,99.8,262491985.02
89,160164691,34549760,99.6,261875246.90
90,157830706,34549760,101.1,265747832.36
91,159139977,34549760,100.3,263561480.85
92,158743587,34549760,100.5,264219605.92
93,159171623,34549760,100.2,263509080.38
94,158599057,34549760,100.6,264460387.05
95,158606815,34553856,100.6,264447451.39
96,157772761,34553856,94.8,265845433.23
97,158184982,34553856,100.9,265152655.26
98,158862245,34553856,100.4,264022254.00
99,157788480,34553856,101.1,265818949.52
100,158717048,34553856,100.5,264263785.95
