Trial,Latency_ns,RAM_Bytes,CPU_Percent,Throughput_bps
1,165563965,29327360,0.0,253335126.40
2,164260893,29327360,97.1,255344819.05
3,164805277,29327360,102.8,254501365.27
4,164137232,29327360,97.2,255537195.85
5,165116390,29327360,102.7,254021832.72
6,165091980,29327360,102.7,254059391.62
7,165214272,29327360,96.6,253871336.25
8,165619994,29327360,102.3,253249423.50
9,164190391,29327360,97.2,255454462.01
10,164954709,29327360,102.8,254270813.21
11,164612370,29327360,96.9,254799611.96
12,164044819,29327360,103.3,255681150.16
13,164609164,29327360,96.9,254804574.55
14,164818376,29327360,102.8,254481138.68
15,164196627,29327360,97.2,255444760.14
16,164917687,29327360,102.8,254327893.89
17,165176988,29327360,96.6,253928640.47
18,164959902,29327360,102.8,254262808.67
19,165255796,29327360,96.5,253807545.73
20,164043017,29327360,97.2,255683958.80
21,165168225,29327360,102.6,253942112.66
22,164991826,29327360,102.7,254213611.77
23,164488737,29327360,97.0,254991124.41
24,164574229,29327360,96.9,254858663.20
25,164985840,29327360,102.7,254222835.12
26,165058541,29327360,102.7,254110861.19
27,164204801,29327360,97.2,255432044.28
28,165218330,29327360,102.6,253865100.80
29,164737535,29331456,102.9,254606019.21
30,165447851,29331456,96.4,253512921.12
31,165682526,29331456,102.3,253153841.94
32,164785918,29331456,96.8,254531264.01
33,164892339,29331456,102.8,254366990.33
34,165063869,29331456,102.7,254102658.89
35,164764251,29331456,96.8,254564735.65
36,164613365,29331456,103.0,254798071.83
37,164908019,29331456,96.7,254342804.28
38,166232774,29331456,96.0,252315876.05
39,165434236,29331456,102.5,253533784.87
40,165062104,29331456,102.7,254105376.00
41,165275575,29331456,102.6,253777171.85
42,165366530,29331456,96.5,253637589.18
43,165053525,29331456,102.7,254118583.65
44,164729355,29331456,96.8,254618662.23
45,164622211,29331456,103.0,254784380.22
46,164589620,29331456,96.9,254834831.02
47,165181352,29331456,102.6,253921931.82
48,164667686,29331456,96.8,254714018.39
49,164803643,29331456,102.8,254503888.61
50,165166422,29331456,96.6,253944884.75
51,164895120,29331456,102.8,254362700.36
52,165526610,29331456,96.4,253392297.47
53,164517692,29331456,103.0,254946246.15
54,164587147,29331456,96.9,254838660.03
55,165866553,29331456,102.2,252872970.72
56,165073644,29331456,96.6,254087611.95
57,164053116,29331456,103.3,255668219.07
58,165611082,29331456,96.3,253263051.56
59,164378101,29331456,103.1,255162748.23
60,165283999,29331456,102.6,253764237.64
61,164404373,29331456,97.0,255121972.94
62,165867955,29331456,102.2,252870833.31
63,164554829,29331456,96.9,254888709.46
64,165417235,29331456,102.5,253559842.18
65,164319395,29331456,97.1,255253909.62
66,165173592,29331456,96.6,253933861.29
67,165061986,29331456,102.7,254105557.65
68,164901679,29331456,96.7,254352583.03
69,164295558,29331456,103.2,255290943.41
70,165256830,29331456,96.5,253805957.67
71,165201925,29331456,102.6,253890310.30
72,165182347,29335552,102.6,253920402.28
73,165614123,29335552,96.3,253258401.16
74,165165940,29335552,102.6,253945625.84
75,165015539,29335552,96.7,254177080.86
76,163955810,29339648,103.4,255819955.39
77,164828937,29339648,96.8,254464833.44
78,164821858,29339648,102.8,254475762.55
79,163519584,29339648,97.6,256502413.80
80,164255606,29339648,103.2,255353038.00
81,164644699,29339648,96.9,254749580.49
82,164590702,29339648,103.0,254833155.76
83,164709271,29339648,102.9,254649709.43
84,164090646,29339648,97.2,255609743.90
85,165127358,29339648,102.7,254004960.22
86,164629992,29339648,96.9,254772338.20
87,164620640,29339648,103.0,254786811.67
88,163482359,29339648,97.6,256560819.51
89,164522478,29339648,103.0,254938829.70
90,165083764,29339648,96.6,254072035.82
91,165005803,29339648,102.7,254192078.32
92,165819877,29339648,96.2,252944150.96
93,165420174,29339648,102.5,253555337.21
94,164955528,29339648,102.8,254269550.76
95,164626136,29339648,96.9,254778305.68
96,164231816,29339648,103.2,255390027.47
97,164842583,29339648,96.8,254443768.33
98,164945060,29339648,102.7,254285687.61
99,166029604,29339648,96.1,252624634.34
100,164470471,29339648,103.1,255019443.58
